PROCESS_DATE;PART_I_D;PART_CONSUMPTION
2023-01-17;103376;15.0
2023-01-18;119581;0.0
2023-01-18;118699;0.0
2023-01-18;119584;2.0
2023-01-18;118566;1.0
2023-01-18;119585;0.0
2023-01-18;118229;0.0
2023-01-18;119708;3.0
2023-01-18;117907;0.0
2023-01-18;213489;6.0
2023-01-18;111776;2.0
2023-01-18;103376;7.0
2023-01-19;119581;0.0
2023-01-19;118699;0.0
2023-01-19;119584;2.0
2023-01-19;118566;0.0
2023-01-19;119585;0.0
2023-01-19;118229;0.0
2023-01-19;119708;7.0
2023-01-19;117907;0.0
2023-01-19;213489;8.0
2023-01-19;111776;4.0
2023-01-19;103376;6.0
2023-01-20;119581;0.0
2023-01-20;118699;1.0
2023-01-20;119584;0.0
2023-01-20;118566;0.0
2023-01-20;119585;0.0
2023-01-20;118229;0.0
2023-01-20;119708;4.0
2023-01-20;117907;0.0
2023-01-20;213489;6.0
2023-01-20;111776;0.0
2023-01-20;103376;3.0
2023-01-21;119581;0.0
2023-01-21;118699;0.0
2023-01-21;119584;0.0
2023-01-21;118566;0.0
2023-01-21;119585;0.0
2023-01-21;118229;0.0
2023-01-21;119708;0.0
2023-01-21;117907;0.0
2023-01-21;213489;0.0
2023-01-21;111776;0.0
2023-01-21;103376;0.0
2023-01-22;119581;0.0
2023-01-22;118699;0.0
2023-01-22;119584;0.0
2023-01-22;118566;0.0
2023-01-22;119585;0.0
2023-01-22;118229;0.0
2023-01-22;119708;0.0
2023-01-22;117907;0.0
2023-01-22;213489;0.0
2023-01-22;111776;0.0
2023-01-22;103376;0.0
2023-01-23;119581;0.0
2023-01-23;118699;0.0
2023-01-23;119584;0.0
2023-01-23;118566;2.0
2023-01-23;119585;0.0
2023-01-23;118229;0.0
2023-01-23;119708;9.0
2023-01-23;117907;4.0
2023-01-23;213489;30.0
2023-01-23;111776;2.0
2023-01-23;103376;15.0
2023-01-24;119581;0.0
2023-01-24;118699;1.0
2023-01-24;119584;0.0
2023-01-24;118566;2.0
2023-01-24;119585;2.0
2023-01-24;118229;0.0
2023-01-24;119708;7.0
2023-01-24;117907;4.0
2023-01-24;213489;22.0
2023-01-24;111776;0.0
2023-01-24;103376;3.0
2023-01-25;119581;0.0
2023-01-25;118699;0.0
2023-01-25;119584;5.0
2023-01-25;118566;2.0
2023-01-25;119585;1.0
2023-01-25;118229;0.0
2023-01-25;119708;4.0
2023-01-25;117907;4.0
2023-01-25;213489;20.0
2023-01-25;111776;7.0
2023-01-25;103376;2.0
2023-01-26;119581;1.0
2023-01-26;118699;0.0
2023-01-26;119584;1.0
2023-01-26;118566;0.0
2023-01-26;119585;0.0
2023-01-26;118229;4.0
2023-01-26;119708;0.0
2023-01-26;117907;0.0
2023-01-26;213489;2.0
2023-01-26;111776;2.0
2023-01-26;103376;5.0
2023-01-27;119581;0.0
2023-01-27;118699;0.0
2023-01-27;119584;0.0
2023-01-27;118566;0.0
2023-01-27;119585;0.0
2023-01-27;118229;11.0
2023-01-27;119708;2.0
2023-01-27;117907;0.0
2023-01-27;213489;0.0
2023-01-27;111776;20.0
2023-01-27;103376;0.0
2023-01-28;119581;0.0
2023-01-28;118699;0.0
2023-01-28;119584;0.0
2023-01-28;118566;0.0
2023-01-28;119585;0.0
2023-01-28;118229;10.0
2023-01-28;119708;0.0
2023-01-28;117907;0.0
2023-01-28;213489;0.0
2023-01-28;111776;0.0
2023-01-28;103376;0.0
2023-01-29;119581;0.0
2023-01-29;118699;0.0
2023-01-29;119584;0.0
2023-01-29;118566;0.0
2023-01-29;119585;0.0
2023-01-29;118229;0.0
2023-01-29;119708;0.0
2023-01-29;117907;0.0
2023-01-29;213489;0.0
2023-01-29;111776;0.0
2023-01-29;103376;0.0
2023-01-30;119581;3.0
2023-01-30;118699;0.0
2023-01-30;119584;2.0
2023-01-30;118566;0.0
2023-01-30;119585;0.0
2023-01-30;118229;13.0
2023-01-30;119708;2.0
2023-01-30;117907;0.0
2023-01-30;213489;8.0
2023-01-30;111776;7.0
2023-01-30;103376;17.0
2023-01-31;119581;3.0
2023-01-31;118699;0.0
2023-01-31;119584;0.0
2023-01-31;118566;3.0
2023-01-31;119585;0.0
2023-01-31;118229;7.0
2023-01-31;119708;1.0
2023-01-31;117907;6.0
2023-01-31;213489;28.0
2023-01-31;111776;1.0
2023-01-31;103376;3.0
2023-02-01;119581;6.0
2023-02-01;118699;0.0
2023-02-01;119584;8.0
2023-02-01;118566;1.0
2023-02-01;119585;1.0
2023-02-01;118229;4.0
2023-02-01;119708;4.0
2023-02-01;117907;2.0
2023-02-01;213489;16.0
2023-02-01;111776;0.0
2023-02-01;103376;11.0
2023-02-02;119581;1.0
2023-02-02;118699;0.0
2023-02-02;119584;1.0
2023-02-02;118566;0.0
2023-02-02;119585;1.0
2023-02-02;118229;3.0
2023-02-02;119708;6.0
2023-02-02;117907;0.0
2023-02-02;213489;6.0
2023-02-02;111776;3.0
2023-02-02;103376;6.0
2023-02-03;119581;0.0
2023-02-03;118699;0.0
2023-02-03;119584;0.0
2023-02-03;118566;0.0
2023-02-03;119585;0.0
2023-02-03;118229;4.0
2023-02-03;119708;0.0
2023-02-03;117907;0.0
2023-02-03;213489;4.0
2023-02-03;111776;0.0
2023-02-03;103376;2.0
2023-02-04;119581;0.0
2023-02-04;118699;0.0
2023-02-04;119584;0.0
2023-02-04;118566;0.0
2023-02-04;119585;0.0
2023-02-04;118229;0.0
2023-02-04;119708;0.0
2023-02-04;117907;0.0
2023-02-04;213489;0.0
2023-02-04;111776;0.0
2023-02-04;103376;0.0
2023-02-05;119581;0.0
2023-02-05;118699;0.0
2023-02-05;119584;0.0
2023-02-05;118566;0.0
2023-02-05;119585;0.0
2023-02-05;118229;0.0
2023-02-05;119708;0.0
2023-02-05;117907;0.0
2023-02-05;213489;0.0
2023-02-05;111776;0.0
2023-02-05;103376;0.0
2023-02-06;119581;1.0
2023-02-06;118699;2.0
2023-02-06;119584;4.0
2023-02-06;118566;0.0
2023-02-06;119585;1.0
2023-02-06;118229;2.0
2023-02-06;119708;7.0
2023-02-06;117907;0.0
2023-02-06;213489;18.0
2023-02-06;111776;0.0
2023-02-06;103376;9.0
2023-02-07;119581;3.0
2023-02-07;118699;3.0
2023-02-07;119584;5.0
2023-02-07;118566;1.0
